Judge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SHIVA KIRTI SINGH,6,13,6,3,0,1,1,1,15,0,1,6,0,2,0,0,2,4
DIPAK MISRA,7,30,48,11,0,0,16,7,51,1,0,29,1,4,1,5,5,20
RANJAN GOGOI,12,9,22,3,0,4,15,4,37,1,3,21,3,2,1,8,3,14
N.V. RAMANA,1,7,6,2,0,1,6,0,8,0,0,7,1,2,0,1,0,4
ANIL R. DAVE,29,59,20,3,0,1,21,9,22,3,4,13,0,1,0,5,3,21
ADARSH KUMAR GOEL,11,0,14,1,0,0,4,2,8,1,0,6,0,0,1,1,0,6
L. NAGESWARA RAO,3,1,4,1,0,0,3,0,0,1,3,7,0,0,0,0,2,2
T.S. THAKUR,11,11,40,5,0,1,18,10,42,7,1,27,0,4,0,4,3,22
A.M. KHANWILKAR,1,0,4,1,0,0,1,0,1,1,0,2,0,0,0,0,0,6
D.Y. CHANDRACHUD,1,1,4,1,0,0,3,1,0,2,0,4,0,0,0,0,1,4
A.K. SIKRI,4,23,22,11,0,5,20,4,31,1,2,15,1,0,0,2,5,12
R.K. AGRAWAL,1,3,6,2,0,0,6,0,7,0,0,8,0,0,0,1,0,4
JAGDISH SINGH KHEHAR,6,7,14,3,0,1,10,3,23,0,1,10,0,2,2,2,4,12
PRAFULLA C. PANT,5,9,9,0,0,0,8,2,7,0,0,5,1,1,0,0,2,4
V. GOPALA GOWDA,19,3,37,3,0,1,22,4,28,0,0,31,0,1,0,5,2,19
AMITAVA ROY,4,2,10,1,0,0,2,2,3,0,0,1,0,0,0,0,0,4
R. BANUMATHI,4,2,9,2,0,2,4,5,7,3,1,7,1,1,0,1,2,5
UDAY UMESH LALIT,1,5,6,2,0,1,4,5,12,1,1,4,0,1,0,0,0,6
MADAN B. LOKUR,2,13,19,2,0,3,6,2,14,0,1,5,1,2,0,3,1,9
PINAKI CHANDRA GHOSE,4,1,12,0,0,1,8,3,12,0,0,11,0,1,0,2,3,5
ARUN MISHRA,3,4,7,0,0,0,5,1,2,0,0,7,0,0,0,1,1,4
FAKKIR MOHAMED IBRAHIM KALIFULLA,7,1,27,4,0,2,5,4,15,3,1,12,0,0,0,3,2,4
S.A. BOBDE,2,7,17,4,0,0,5,3,9,1,1,7,0,0,1,1,0,7
M.Y. EQBAL,4,2,13,2,0,3,7,4,16,1,1,14,1,1,0,3,1,5
P SATHASIVAM,5,0,4,1,0,2,2,0,17,0,2,9,1,0,0,0,0,3
VIKRAMAJIT SEN,3,1,11,4,0,0,8,1,14,0,0,5,0,0,0,0,0,5
C NAGAPPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYAN SUDHA MISRA,8,3,27,1,0,1,10,2,18,0,1,18,3,5,0,3,2,10
N.V.  RAMANA,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0
H.L. GOKHALE,17,8,22,4,0,3,11,8,13,3,0,19,0,0,1,5,4,9
SURINDER SINGH NIJJAR,7,6,13,3,0,4,20,14,25,1,4,15,0,1,1,3,9,12
K.S. RADHAKRISHNAN,4,15,27,13,0,2,21,1,27,1,1,28,2,1,0,6,7,15
SUDHANSU JYOTI MUKHOPADHAYA,16,6,35,5,0,1,10,1,21,0,2,33,0,1,0,3,4,13
RANJANA PRAKASH DESAI,11,1,26,1,0,2,5,3,25,2,2,8,0,0,1,1,1,8
B.S. CHAUHAN,27,3,85,6,0,5,15,3,54,4,1,31,1,1,0,6,2,21
CHANDRAMAULI KR. PRASAD,3,9,23,2,0,0,8,1,36,4,2,13,0,0,0,1,2,13
A.K. PATNAIK,16,12,54,12,0,4,17,11,23,2,4,7,0,4,1,7,4,15
R.M. LODHA,11,10,19,2,0,1,13,9,25,2,0,30,0,0,0,2,4,14
CHIEF JUSTICE,1,2,2,2,0,0,1,2,6,0,0,2,0,1,0,0,0,0
H.L. DATTU,8,43,9,2,0,1,9,2,16,1,2,12,0,0,1,1,3,11
MADAN B LOKUR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N. V.  RAMANA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRAFULLA CHANDRA PANT,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
S. A. BOBDE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.K SIKRI,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
R. K. AGRAWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. K. SIKRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWATANTER KUMAR,11,20,36,6,0,1,13,1,10,1,5,13,1,4,0,4,2,16
P. SATHASIVAM,15,8,48,3,0,6,20,1,63,3,4,37,0,7,0,5,3,19
ALTAMAS KABIR,4,1,13,4,0,1,17,7,20,0,1,12,2,2,0,0,2,5
G.S. SINGHVI,51,2,17,7,0,4,21,5,22,4,4,62,0,1,1,2,7,24
AFTAB ALAM,7,4,17,0,0,0,9,2,17,2,1,26,0,1,0,2,2,10
DALVEER BHANDARI,6,5,8,0,0,1,7,1,11,0,0,15,0,0,1,1,2,3
S.H. KAPADIA,1,23,1,1,0,0,7,0,4,0,0,6,0,4,1,4,1,2
ASOK KUMAR GANGULY,21,4,12,2,0,2,8,3,17,1,0,27,0,1,2,0,2,19
D.K. JAIN,1,44,7,1,0,0,7,4,10,0,1,3,0,1,2,1,2,6
CYRIAC JOSEPH,4,1,5,0,0,0,10,2,6,0,1,8,1,0,0,1,0,0
DEEPAK VERMA,9,4,7,0,0,1,6,0,14,0,0,16,0,0,0,0,1,2
SHARAD ARVIND BOBDE,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R.V. RAVEENDRAN,24,4,12,9,0,6,11,17,9,2,0,16,0,4,1,4,2,11
B. SUDERSHAN REDDY,2,6,5,1,0,0,3,0,15,1,1,4,0,1,0,2,2,5
V.S. SIRPURKAR,3,1,5,1,0,0,5,0,11,0,0,4,0,0,0,2,0,4
HARJIT SINGH BEDI,2,4,22,0,0,0,1,0,32,3,0,3,0,0,0,1,1,10
J.M. PANCHAL,4,1,6,0,0,1,2,1,11,2,2,7,0,3,0,0,2,1
MUKUNDAKAM SHARMA,18,29,7,0,0,0,7,0,6,2,1,7,0,0,0,3,0,9
K.S. PANICKER RADHAKRISHNAN,1,5,0,1,0,0,2,0,4,0,0,2,0,1,0,2,0,1
MARKANDEY KATJU,3,2,7,0,0,0,4,1,8,0,0,11,2,1,0,2,0,2
JASTI CHELAMESWAR,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.G. BALAKRISHNAN,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0
C.K. PRASAD,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
V.S. SIRPURKAR*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARUN CHATTERJEE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
